Model,admissible,chronological,contaminated,cost,share_of_signal_pct
CatBoost,0.9016093155725224,0.8975759606136441,0.943563875454238,0.04195455988171559,9.458515944011767
LightGBM,0.9043491209809272,0.8987456174342364,0.9472522035534596,0.04290308257253239,9.592592776885944
RandomForest,0.8987356331426459,0.893230848322699,0.9407713838253778,0.04203575068273191,9.536860201293235
XGBoost,0.9042148232501381,0.8987311362481994,0.9478032473979068,0.043588424147768645,9.73383386588911
