Model,CV_AUC,Test_AUC,F1,Accuracy,Precision,Recall,Brier
XGBoost_untuned,,0.7877,0.6381,0.7193,0.6046,0.6754,0.1865
LightGBM_untuned,,0.7819,0.6313,0.7117,0.594,0.6737,0.1891
CatBoost_untuned,,0.7704,0.6245,0.7057,0.5863,0.668,0.1947
RandomForest_untuned,,0.7753,0.616,0.7153,0.6088,0.6234,0.1903
XGBoost_tuned,0.7932,0.7927,0.6485,0.7271,0.614,0.6872,0.1833
LightGBM_tuned,0.7922,0.7917,0.6469,0.7276,0.616,0.6811,0.1835
"SoftVote(XGBt,LGBMt,CatBoost)",,0.7922,0.6472,0.7268,0.6141,0.6841,0.1839
SoftVote(4 models),,0.791,0.6418,0.7252,0.6142,0.6719,0.1842
Stacking(LR meta),,0.7935,0.6147,0.7358,0.6598,0.5754,0.1751
