a,b,mean_a,mean_b,mean_diff,p_value,n_pairs,a_better
PAA-NSGA-II,NSGA3,0.07617442270754396,0.08242921376947762,-0.0062547910619336605,1.5041770549200998e-23,150,False
NSGA3-PrioInit,NSGA3,0.08497291463725155,0.08242921376947762,0.0025437008677739095,6.817288316784642e-11,150,True
PAA-NSGA-II,StandardNSGA2,0.07617442270754396,0.06951111370274989,0.00666330900479407,1.504722489470097e-19,150,True
NSGA3,StandardNSGA2,0.08242921376947762,0.06951111370274989,0.012918100066727731,2.6469347492701727e-26,150,True
