policy,mean_s_per_solve,sd_s,solves,pct_vs_standard_nsga2,source
StandardNSGA2,0.8862703200080432,0.01892038045495426,20,0.0,metrics_timing.csv
NSGA3,0.9942246249993332,0.011640933803484497,20,12.180742438752803,metrics_timing.csv
PAA-NSGA-II,0.958171359996777,0.010177827620165187,20,8.112766315821267,metrics_timing.csv
PAA-noPriority,0.9554647000099067,0.009961358156983563,20,7.8073673956762475,metrics_timing.csv
PAA-noAdaptive,0.9074188900063745,0.0189372452585918,20,2.386243736351166,metrics_timing.csv
PAA-noSLAMut,0.9754593199992087,0.020689289574265475,20,10.063408192475187,metrics_timing.csv
PAA-AdaptMut,0.9174262450018432,0.010453455284965534,20,3.515397536218667,metrics_timing.csv
NSGA3-PrioInit,1.0128185850102454,0.021804975074748375,20,14.2787434200723,metrics_timing.csv
