Config,Model,Recall,Precision
contaminated_v1,XGBoost,1.0,0.3663429730018141
contaminated_v1,XGBoost,0.9997087095834547,0.36875470076286665
contaminated_v1,XGBoost,0.9997087095834547,0.3708666522584828
contaminated_v1,XGBoost,0.9997087095834547,0.37300293446364524
contaminated_v1,XGBoost,0.9997087095834547,0.37508196721311476
contaminated_v1,XGBoost,0.9997087095834547,0.37726723095526
contaminated_v1,XGBoost,0.9994174191669094,0.37936753648827953
contaminated_v1,XGBoost,0.9994174191669094,0.3816887306708199
contaminated_v1,XGBoost,0.9991261287503641,0.38392657264383256
contaminated_v1,XGBoost,0.9988348383338188,0.3861486486486487
contaminated_v1,XGBoost,0.9985435479172735,0.3884859474161378
contaminated_v1,XGBoost,0.9979609670841829,0.3908727895037079
contaminated_v1,XGBoost,0.997087095834547,0.3932222860425043
contaminated_v1,XGBoost,0.9967958054180017,0.395606936416185
contaminated_v1,XGBoost,0.9962132245849111,0.39772066519362714
contaminated_v1,XGBoost,0.9956306437518205,0.4
contaminated_v1,XGBoost,0.9953393533352752,0.40256833176248824
contaminated_v1,XGBoost,0.9947567725021846,0.4048127074442864
contaminated_v1,XGBoost,0.9935916108360034,0.4071863435597469
contaminated_v1,XGBoost,0.9933003204194581,0.4098557692307692
contaminated_v1,XGBoost,0.9930090300029129,0.4125620234781556
contaminated_v1,XGBoost,0.9930090300029129,0.41532651072124754
contaminated_v1,XGBoost,0.9930090300029129,0.4180770174147658
contaminated_v1,XGBoost,0.9927177395863676,0.42074074074074075
contaminated_v1,XGBoost,0.9921351587532771,0.42326332794830374
contaminated_v1,XGBoost,0.9918438683367318,0.42599774802952584
contaminated_v1,XGBoost,0.9906787066705506,0.4283375314861461
contaminated_v1,XGBoost,0.9903874162540053,0.4311437991377124
contaminated_v1,XGBoost,0.9898048354209147,0.43386108273748725
contaminated_v1,XGBoost,0.9889309641712788,0.43637532133676094
contaminated_v1,XGBoost,0.9886396737547335,0.43929588402795755
contaminated_v1,XGBoost,0.9877658025050976,0.4420544909399035
contaminated_v1,XGBoost,0.987183221672007,0.44486741927014967
contaminated_v1,XGBoost,0.9863093504223711,0.44758757435558494
contaminated_v1,XGBoost,0.9857267695892805,0.4507192328183271
contaminated_v1,XGBoost,0.9854354791727352,0.4538502817279313
contaminated_v1,XGBoost,0.9839790270900087,0.4564864864864865
contaminated_v1,XGBoost,0.9831051558403728,0.4592461559395836
contaminated_v1,XGBoost,0.9819399941741916,0.46222405045934456
contaminated_v1,XGBoost,0.9807748325080105,0.46505524861878456
contaminated_v1,XGBoost,0.9799009612583746,0.4683932052353105
contaminated_v1,XGBoost,0.9796096708418293,0.47193376368229023
contaminated_v1,XGBoost,0.9787357995921934,0.47558386411889597
contaminated_v1,XGBoost,0.9769880570929217,0.47818648417450815
contaminated_v1,XGBoost,0.9761141858432858,0.4814655172413793
contaminated_v1,XGBoost,0.974366443344014,0.48457192524989134
contaminated_v1,XGBoost,0.9734925720943781,0.488096976778151
contaminated_v1,XGBoost,0.971453539178561,0.49080206033848417
contaminated_v1,XGBoost,0.9708709583454704,0.49429037520391517
contaminated_v1,XGBoost,0.9697057966792892,0.4977571770334928
contaminated_v1,XGBoost,0.9688319254296534,0.5012810851544838
contaminated_v1,XGBoost,0.9676667637634722,0.5051703163017032
contaminated_v1,XGBoost,0.9662103116807457,0.5085863232137381
contaminated_v1,XGBoost,0.9653364404311098,0.5123685837971552
contaminated_v1,XGBoost,0.9612583745994757,0.5144995322731525
contaminated_v1,XGBoost,0.9603845033498398,0.518233259981138
contaminated_v1,XGBoost,0.9592193416836586,0.5220355104629042
contaminated_v1,XGBoost,0.9568890183512962,0.5250959079283888
