Config,Model,TN,FP,FN,TP,Specificity,NPV,MCC,BalancedAcc
contaminated_v1,XGBoost,4703,1235,719,2714,0.792017514314584,0.8673921062338621,0.5684457528579423,0.7912898524092582
contaminated_v1,LightGBM,4668,1270,729,2704,0.7861232738295723,0.8649249583101724,0.559379611312089,0.7868862800840258
contaminated_v1,CatBoost,4670,1268,744,2689,0.7864600875715729,0.8625785001847063,0.5557654851782959,0.7848700088309365
contaminated_v1,RandomForest,4748,1190,819,2614,0.7995958235095992,0.8528830608945572,0.5504418210743603,0.780514486179501
leakfree,XGBoost,4438,1500,1112,2321,0.7473896934994948,0.7996396396396397,0.41519250831299526,0.711737375150563
leakfree,LightGBM,4422,1516,1140,2293,0.7446951835634894,0.7950377562028047,0.4047535056761565,0.7063120543509263
leakfree,CatBoost,4312,1626,1171,2262,0.7261704277534523,0.7864307860660222,0.3765509079508278,0.6925346749894555
leakfree,RandomForest,4615,1323,1315,2118,0.7771977096665544,0.7782462057335582,0.39395783385555344,0.6970754059547453
