Train_fraction,Train_n,Train_AUC,Test_AUC,Gap
0.05,1093,0.9977144965216781,0.6722842025132603,0.32543029400841783
0.1,2186,0.9867971636239204,0.7074699313039283,0.2793272323199921
0.2,4373,0.9535219952020271,0.7393969895935052,0.21412500560852188
0.3,6559,0.9281944968150914,0.758009922318958,0.17018457449613333
0.4,8746,0.9119618907015183,0.7643949611565357,0.14756692954498263
0.5,10932,0.9041697400830447,0.7723206064570324,0.13184913362601236
0.6,13119,0.890329757388299,0.7772755359120662,0.11305422147623279
0.7,15305,0.8806772650327519,0.7785000054451392,0.1021772595876127
0.85,18585,0.8717798600858641,0.7821815326977661,0.08959832738809792
1.0,21865,0.8647468490029329,0.7843838216772854,0.08036302732564748
