Config,Model,FPR,TPR
contaminated_v1,XGBoost,0.0,0.0
contaminated_v1,XGBoost,0.0010104412260020209,0.13428488202738129
contaminated_v1,XGBoost,0.0023576961940047153,0.15205359743664434
contaminated_v1,XGBoost,0.0038733580330077466,0.19079522283716865
contaminated_v1,XGBoost,0.005389019872010778,0.22021555490824352
contaminated_v1,XGBoost,0.006736274840013472,0.24876201572968248
contaminated_v1,XGBoost,0.008083529808016167,0.26565685988930965
contaminated_v1,XGBoost,0.010609632873021219,0.29158170696184094
contaminated_v1,XGBoost,0.012462108454024925,0.3032333236236528
contaminated_v1,XGBoost,0.01380936342202762,0.3151762307020099
contaminated_v1,XGBoost,0.015156618390030314,0.3242062336149141
contaminated_v1,XGBoost,0.016503873358033008,0.33207107486163706
contaminated_v1,XGBoost,0.017851128326035703,0.3489659190212642
contaminated_v1,XGBoost,0.019366790165038734,0.35886979318380424
contaminated_v1,XGBoost,0.021050858875042103,0.37139528109525194
contaminated_v1,XGBoost,0.02256652071404513,0.384212059423245
contaminated_v1,XGBoost,0.0242505894240485,0.3944072240023303
contaminated_v1,XGBoost,0.026271471876052544,0.4028546460821439
contaminated_v1,XGBoost,0.027787133715055576,0.41421497232741045
contaminated_v1,XGBoost,0.030313236780060628,0.42528400815613165
contaminated_v1,XGBoost,0.03199730549006399,0.4351878823186717
contaminated_v1,XGBoost,0.0338497810710677,0.44538304689775704
contaminated_v1,XGBoost,0.035702256652071405,0.4538304689775706
contaminated_v1,XGBoost,0.03738632536207477,0.4622778910573842
contaminated_v1,XGBoost,0.03907039407207814,0.4681036993882901
contaminated_v1,XGBoost,0.04058605591108117,0.4841246722982814
contaminated_v1,XGBoost,0.04227012462108454,0.48878531896300614
contaminated_v1,XGBoost,0.044796227686089596,0.4963588697931838
contaminated_v1,XGBoost,0.0466487032670933,0.5033498397902709
contaminated_v1,XGBoost,0.04799595823509599,0.5135450043693562
contaminated_v1,XGBoost,0.0498484338160997,0.5240314593649869
contaminated_v1,XGBoost,0.0517009093971034,0.528109525196621
contaminated_v1,XGBoost,0.05389019872010778,0.531022429362074
contaminated_v1,XGBoost,0.05591108117211182,0.5385959801922516
contaminated_v1,XGBoost,0.05759514988211519,0.5435479172735217
