TN,FP,FN,TP,Accuracy,Precision,Recall,Specificity,NPV,F1,BalancedAcc,MCC,AUC,AveragePrecision,Brier,LogLoss,Config,Model,Num_Features,Train_AUC,Generalisation_gap
4703,1235,719,2714,0.7914843666631096,0.6872625981261079,0.7905621905039324,0.792017514314584,0.8673921062338621,0.7353020861555134,0.7912898524092582,0.5684457528579423,0.8814005771062607,0.8242141568632139,0.13857620645225893,0.42744306188266024,contaminated_v1,XGBoost,20,0.9273671485740599,0.045966571467799144
4668,1270,729,2704,0.7866823177889233,0.6804227478610971,0.7876492863384794,0.7861232738295723,0.8649249583101724,0.7301201566086135,0.7868862800840258,0.559379611312089,0.8795338019030908,0.8208303498746448,0.1402644012616744,0.43188686842215074,contaminated_v1,LightGBM,20,0.9155732787079955,0.03603947680490471
4670,1268,744,2689,0.7852950592252694,0.6795552185999495,0.7832799300903001,0.7864600875715729,0.8625785001847063,0.7277401894451963,0.7848700088309365,0.5557654851782959,0.8736886412533356,0.813761749495086,0.1438488305029264,0.4438509619267972,contaminated_v1,CatBoost,20,0.8933032873072226,0.019614646053887075
4748,1190,819,2614,0.7856151958168819,0.6871713985278654,0.7614331488494028,0.7995958235095992,0.8528830608945572,0.7223987840265303,0.780514486179501,0.5504418210743603,0.8720286586993652,0.8068422977647322,0.14296601408650567,0.4436573834257405,contaminated_v1,RandomForest,20,0.9412468252067944,0.06921816650742918
4438,1500,1112,2321,0.7212677409027852,0.6074326092645904,0.6760850568016312,0.7473896934994948,0.7996396396396397,0.6399228012131238,0.711737375150563,0.41519250831299526,0.7859183698097155,0.6888491288201187,0.18609527941646029,0.5506397019442103,leakfree,XGBoost,17,0.8644811990413714,0.07856282923165592
4422,1516,1140,2293,0.716572404225803,0.6019952743502232,0.667928925138363,0.7446951835634894,0.7950377562028047,0.6332504832919084,0.7063120543509263,0.4047535056761565,0.7825134899643141,0.6843022945805896,0.18805619034229593,0.5557198062300778,leakfree,LightGBM,17,0.8429301690830515,0.06041667911873738
4312,1626,1171,2262,0.7015259844200192,0.5817901234567902,0.6588989222254588,0.7261704277534523,0.7864307860660222,0.6179483677093294,0.6925346749894555,0.3765509079508278,0.7700846900641516,0.668571549479803,0.19388120303514572,0.5697624705322535,leakfree,CatBoost,17,0.8078295404307023,0.03774485036655073
4615,1323,1315,2118,0.7184932237754775,0.6155187445510026,0.6169531022429362,0.7771977096665544,0.7782462057335582,0.6162350887401804,0.6970754059547453,0.39395783385555344,0.7727004907591083,0.6672474171854816,0.1900285241602868,0.5618301919162658,leakfree,RandomForest,17,0.8939985427140325,0.12129805195492416
