Model,CV_AUC,Test_AUC,F1,Accuracy,Precision,Recall,Brier
XGBoost_untuned,,0.7859,0.6399,0.7213,0.6074,0.6761,0.1861
LightGBM_untuned,,0.7825,0.6333,0.7166,0.602,0.6679,0.1881
CatBoost_untuned,,0.7701,0.6179,0.7015,0.5818,0.6589,0.1939
RandomForest_untuned,,0.7727,0.6162,0.7185,0.6155,0.617,0.19
XGBoost_tuned,0.7895,0.7907,0.6479,0.7291,0.6183,0.6805,0.183
LightGBM_tuned,0.7878,0.7865,0.644,0.7232,0.6089,0.6834,0.1858
"SoftVote(XGBt,LGBMt,CatBoost)",,0.7876,0.6396,0.7213,0.6076,0.6752,0.1856
SoftVote(4 models),,0.7863,0.6351,0.7208,0.6093,0.6633,0.1857
Stacking(LR meta),,0.7904,0.609,0.7367,0.6679,0.5596,0.1759
