Model,Test_AUC,Diff_vs_untuned,CI_low,CI_high,P_better,Significant
XGBoost_tuned,0.7907,0.0048,0.0027,0.0068,1.0,True
LightGBM_tuned,0.7865,0.0005,-0.0017,0.0028,0.686,False
SoftVote_3,0.7876,0.0016,0.0001,0.0032,0.98,True
SoftVote_4,0.7863,0.0004,-0.0014,0.0021,0.68,False
Stacking,0.7904,0.0044,0.0027,0.0061,1.0,True
