Config,Model,FPR,TPR
contaminated_v1,XGBoost,0.0,0.0
contaminated_v1,XGBoost,0.0010174089984173638,0.09579439252336448
contaminated_v1,XGBoost,0.0020348179968347276,0.1434968847352025
contaminated_v1,XGBoost,0.0032783178837892833,0.1641355140186916
contaminated_v1,XGBoost,0.004408772326475243,0.19976635514018692
contaminated_v1,XGBoost,0.005539226769161203,0.22410436137071651
contaminated_v1,XGBoost,0.006669681211847162,0.24396417445482865
contaminated_v1,XGBoost,0.007800135654533123,0.2636292834890966
contaminated_v1,XGBoost,0.008930590097219082,0.2807632398753894
contaminated_v1,XGBoost,0.010287135428442234,0.29264018691588783
contaminated_v1,XGBoost,0.011982817092471173,0.30977414330218067
contaminated_v1,XGBoost,0.013113271535157133,0.3237928348909657
contaminated_v1,XGBoost,0.014243725977843093,0.341316199376947
contaminated_v1,XGBoost,0.015374180420529052,0.35533489096573206
contaminated_v1,XGBoost,0.016617680307483607,0.3611760124610592
contaminated_v1,XGBoost,0.018087271082975358,0.370911214953271
contaminated_v1,XGBoost,0.019443816414198508,0.3909657320872274
contaminated_v1,XGBoost,0.02080036174542166,0.39700155763239875
contaminated_v1,XGBoost,0.022156907076644812,0.4063473520249221
contaminated_v1,XGBoost,0.023513452407867962,0.41880841121495327
contaminated_v1,XGBoost,0.024869997739091116,0.42757009345794394
contaminated_v1,XGBoost,0.02611349762604567,0.4359423676012461
contaminated_v1,XGBoost,0.02724395206873163,0.44665109034267914
contaminated_v1,XGBoost,0.028713542844223377,0.45151869158878505
contaminated_v1,XGBoost,0.030183133619715124,0.4614485981308411
contaminated_v1,XGBoost,0.03176576983947547,0.47235202492211836
contaminated_v1,XGBoost,0.03312231517069862,0.47858255451713394
contaminated_v1,XGBoost,0.03470495139045896,0.4855919003115265
contaminated_v1,XGBoost,0.03583540583314492,0.4912383177570093
contaminated_v1,XGBoost,0.03730499660863667,0.496690031152648
contaminated_v1,XGBoost,0.03843545105132263,0.5035046728971962
contaminated_v1,XGBoost,0.04013113271535157,0.5101246105919003
contaminated_v1,XGBoost,0.04148767804657472,0.5146028037383178
contaminated_v1,XGBoost,0.04295726882206647,0.5239485981308412
contaminated_v1,XGBoost,0.044879041374632604,0.5286214953271028
contaminated_v1,XGBoost,0.04623558670585575,0.5330996884735203
contaminated_v1,XGBoost,0.047592132037078905,0.5408878504672897
contaminated_v1,XGBoost,0.049287813701107845,0.5488707165109035
contaminated_v1,XGBoost,0.05120958625367398,0.5531542056074766
contaminated_v1,XGBoost,0.05245308614062853,0.5570482866043613
contaminated_v1,XGBoost,0.053809631471851686,0.5625
contaminated_v1,XGBoost,0.05539226769161203,0.5671728971962616
contaminated_v1,XGBoost,0.057540131132715354,0.5728193146417445
contaminated_v1,XGBoost,0.059235812796744294,0.5792445482866043
contaminated_v1,XGBoost,0.06047931268369885,0.5866433021806854
contaminated_v1,XGBoost,0.06251413068053358,0.5901479750778816
contaminated_v1,XGBoost,0.06398372145602532,0.5950155763239875
contaminated_v1,XGBoost,0.06567940312005426,0.599493769470405
contaminated_v1,XGBoost,0.0672620393398146,0.6037772585669782
contaminated_v1,XGBoost,0.06929685733664934,0.6121495327102804
contaminated_v1,XGBoost,0.07076644811214108,0.6185747663551402
contaminated_v1,XGBoost,0.07178385711055844,0.6238317757009346
contaminated_v1,XGBoost,0.07347953877458738,0.6273364485981309
contaminated_v1,XGBoost,0.07506217499434772,0.6320093457943925
contaminated_v1,XGBoost,0.07664481121410807,0.6374610591900312
contaminated_v1,XGBoost,0.07822744743386842,0.6425233644859814
contaminated_v1,XGBoost,0.08037531087497174,0.6485591900311527
contaminated_v1,XGBoost,0.08218403798326927,0.6526479750778816
contaminated_v1,XGBoost,0.08376667420302962,0.6557632398753894
contaminated_v1,XGBoost,0.08523626497852137,0.6602414330218068
contaminated_v1,XGBoost,0.08636671942120733,0.6643302180685359
contaminated_v1,XGBoost,0.08840153741804205,0.6690031152647975
contaminated_v1,XGBoost,0.0902102645263396,0.676791277258567
contaminated_v1,XGBoost,0.09224508252317432,0.6824376947040498
contaminated_v1,XGBoost,0.09326249152159168,0.6880841121495327
contaminated_v1,XGBoost,0.09586253673976938,0.6919781931464174
contaminated_v1,XGBoost,0.09789735473660412,0.6954828660436138
contaminated_v1,XGBoost,0.09947999095636446,0.7007398753894081
contaminated_v1,XGBoost,0.10094958173185621,0.7071651090342679
contaminated_v1,XGBoost,0.10309744517295953,0.7110591900311527
contaminated_v1,XGBoost,0.10558444494686864,0.7147585669781932
contaminated_v1,XGBoost,0.10750621749943477,0.7180685358255452
contaminated_v1,XGBoost,0.10897580827492652,0.7231308411214953
contaminated_v1,XGBoost,0.11214108071444721,0.7276090342679128
contaminated_v1,XGBoost,0.11451503504408772,0.7307242990654206
contaminated_v1,XGBoost,0.11666289848519104,0.7340342679127726
contaminated_v1,XGBoost,0.11858467103775717,0.7381230529595015
contaminated_v1,XGBoost,0.1208455799231291,0.7414330218068536
contaminated_v1,XGBoost,0.12276735247569523,0.7449376947040498
contaminated_v1,XGBoost,0.12434998869545558,0.7492211838006231
contaminated_v1,XGBoost,0.1263848066922903,0.7544781931464174
contaminated_v1,XGBoost,0.12841962468912502,0.7572040498442367
contaminated_v1,XGBoost,0.13056748813022837,0.7609034267912772
contaminated_v1,XGBoost,0.13215012434998868,0.7632398753894081
contaminated_v1,XGBoost,0.13407189690255483,0.7677180685358256
contaminated_v1,XGBoost,0.13610671489938955,0.7720015576323987
contaminated_v1,XGBoost,0.1378023965634185,0.7751168224299065
contaminated_v1,XGBoost,0.14017635089305902,0.7794003115264797
contaminated_v1,XGBoost,0.14311553244404251,0.7829049844236761
contaminated_v1,XGBoost,0.14481121410807143,0.786993769470405
contaminated_v1,XGBoost,0.14695907754917475,0.7932242990654206
contaminated_v1,XGBoost,0.15091566809857562,0.798481308411215
contaminated_v1,XGBoost,0.15261134976260457,0.80101246105919
contaminated_v1,XGBoost,0.1549853040922451,0.8060747663551402
contaminated_v1,XGBoost,0.15769839475469138,0.8086059190031153
contaminated_v1,XGBoost,0.15905494008591453,0.8115264797507789
contaminated_v1,XGBoost,0.16176803074836085,0.8156152647975078
contaminated_v1,XGBoost,0.16436807596653855,0.8185358255451713
contaminated_v1,XGBoost,0.16685507574044767,0.8212616822429907
contaminated_v1,XGBoost,0.16945512095862536,0.8253504672897196
contaminated_v1,XGBoost,0.1709247117341171,0.8290498442367601
contaminated_v1,XGBoost,0.1738638932851006,0.8321651090342679
contaminated_v1,XGBoost,0.17612480217047252,0.8350856697819314
contaminated_v1,XGBoost,0.17793352927877007,0.8387850467289719
contaminated_v1,XGBoost,0.1798553018313362,0.8415109034267912
contaminated_v1,XGBoost,0.18268143793805108,0.8444314641744548
contaminated_v1,XGBoost,0.18663802848745195,0.8477414330218068
contaminated_v1,XGBoost,0.18901198281709247,0.8508566978193146
contaminated_v1,XGBoost,0.19217725525661317,0.8545560747663551
contaminated_v1,XGBoost,0.19579470947320823,0.8574766355140186
contaminated_v1,XGBoost,0.19873389102419173,0.8600077881619937
contaminated_v1,XGBoost,0.20291657246212977,0.8623442367601246
contaminated_v1,XGBoost,0.2056296631245761,0.864291277258567
contaminated_v1,XGBoost,0.20902102645263396,0.8670171339563862
contaminated_v1,XGBoost,0.21207325344788605,0.8707165109034268
contaminated_v1,XGBoost,0.21602984399728692,0.8728582554517134
contaminated_v1,XGBoost,0.219082070992539,0.8751947040498442
contaminated_v1,XGBoost,0.2214560253221795,0.8775311526479751
contaminated_v1,XGBoost,0.22360388876328283,0.8808411214953271
contaminated_v1,XGBoost,0.2280126610897581,0.8829828660436138
contaminated_v1,XGBoost,0.23174316075062176,0.8851246105919003
contaminated_v1,XGBoost,0.23716934207551435,0.8874610591900312
contaminated_v1,XGBoost,0.2418042052905268,0.8896028037383178
contaminated_v1,XGBoost,0.246778204838345,0.8915498442367601
contaminated_v1,XGBoost,0.2497173863893285,0.8942757009345794
