Config,Model,TN,FP,FN,TP,Specificity,NPV,MCC,BalancedAcc
contaminated_v1,XGBoost,7278,1568,841,4295,0.8227447433868416,0.8964158147555118,0.6438123063842374,0.8294993187339192
contaminated_v1,LightGBM,7243,1603,821,4315,0.8187881528374407,0.8981894841269841,0.6429342393114016,0.8294680639576612
contaminated_v1,CatBoost,7185,1661,865,4271,0.8122315170698621,0.8925465838509317,0.627981540157604,0.8219062569772986
contaminated_v1,RandomForest,7286,1560,939,4197,0.8236491069409902,0.8858358662613982,0.6277075074164445,0.8204110020686259
leakfree,XGBoost,6598,2248,1341,3795,0.7458738412841962,0.8310870386698577,0.4717562129344459,0.7423878552215373
leakfree,LightGBM,6512,2334,1305,3831,0.736151933077097,0.8330561596520404,0.46806192145657644,0.741031574015184
leakfree,CatBoost,6364,2482,1278,3858,0.7194212073253448,0.8327662915467156,0.45570101836055216,0.7352947158122051
leakfree,RandomForest,6591,2255,1396,3740,0.7450825231743161,0.8252159759609365,0.46101357914524294,0.7366378347958809
