Config,Model,AUC,CI_low,CI_high,SE
contaminated_v1,XGBoost,0.9049630955927773,0.8998894399262077,0.9100111243142258,0.0025821150896766384
contaminated_v1,LightGBM,0.9048313963295799,0.8996134598085002,0.9095643878983453,0.0025413034642322203
contaminated_v1,CatBoost,0.8989236603410521,0.893656639927665,0.9040309020276509,0.002637671472696571
contaminated_v1,RandomForest,0.8994460553126782,0.8944538195097738,0.9046259079850327,0.0025931200517199764
leakfree,XGBoost,0.8258146447379634,0.8189502281639301,0.8329725932677734,0.0035884300651757997
leakfree,LightGBM,0.8238909462748883,0.8168121541546763,0.830662601279369,0.00354793542783183
leakfree,CatBoost,0.8166436239728184,0.809668453206191,0.8237867390034109,0.0036414142715298736
leakfree,RandomForest,0.8212239013814082,0.814294822615564,0.8276166071842181,0.003478496541585504
