Config,Model,Recall,Precision
contaminated_v1,XGBoost,1.0,0.3673294235445573
contaminated_v1,XGBoost,1.0,0.3693901035673188
contaminated_v1,XGBoost,1.0,0.3715277777777778
contaminated_v1,XGBoost,0.9998052959501558,0.373590396507821
contaminated_v1,XGBoost,0.9996105919003115,0.3756493744055023
contaminated_v1,XGBoost,0.9996105919003115,0.37777777777777777
contaminated_v1,XGBoost,0.9992211838006231,0.37983864998889794
contaminated_v1,XGBoost,0.9990264797507789,0.38199821322215605
contaminated_v1,XGBoost,0.9990264797507789,0.38422944436124007
contaminated_v1,XGBoost,0.9990264797507789,0.38654512580985384
contaminated_v1,XGBoost,0.9990264797507789,0.38891836580004546
contaminated_v1,XGBoost,0.9986370716510904,0.3911385647830397
contaminated_v1,XGBoost,0.9984423676012462,0.39352313713452536
contaminated_v1,XGBoost,0.9980529595015576,0.3957384389716668
contaminated_v1,XGBoost,0.9978582554517134,0.3980891719745223
contaminated_v1,XGBoost,0.9976635514018691,0.40040634523716495
contaminated_v1,XGBoost,0.9972741433021807,0.4027679484155068
contaminated_v1,XGBoost,0.9972741433021807,0.40525358018830604
contaminated_v1,XGBoost,0.9968847352024922,0.40764331210191085
contaminated_v1,XGBoost,0.9963006230529595,0.4099831744251262
contaminated_v1,XGBoost,0.9959112149532711,0.4124002257518342
contaminated_v1,XGBoost,0.9959112149532711,0.4150438169425511
contaminated_v1,XGBoost,0.9957165109034268,0.41763985300122497
contaminated_v1,XGBoost,0.9947429906542056,0.4200789343857918
contaminated_v1,XGBoost,0.9941588785046729,0.422577174542746
contaminated_v1,XGBoost,0.9937694704049844,0.42515618492294877
contaminated_v1,XGBoost,0.9929906542056075,0.4276012408820324
contaminated_v1,XGBoost,0.9929906542056075,0.4304887313243859
contaminated_v1,XGBoost,0.9927959501557633,0.43325686124564533
contaminated_v1,XGBoost,0.9922118380062306,0.4359281437125748
contaminated_v1,XGBoost,0.9916277258566978,0.4385602342202704
contaminated_v1,XGBoost,0.9916277258566978,0.44156407144095716
contaminated_v1,XGBoost,0.9912383177570093,0.44439594972067037
contaminated_v1,XGBoost,0.9906542056074766,0.4471787660397258
contaminated_v1,XGBoost,0.990070093457944,0.4500796601168348
contaminated_v1,XGBoost,0.989291277258567,0.45281169236253455
contaminated_v1,XGBoost,0.989291277258567,0.45598133357264653
contaminated_v1,XGBoost,0.9889018691588785,0.45897343213446595
contaminated_v1,XGBoost,0.9887071651090342,0.4622246495539778
contaminated_v1,XGBoost,0.9879283489096573,0.4651631829849652
contaminated_v1,XGBoost,0.9873442367601246,0.46827961954012376
contaminated_v1,XGBoost,0.9865654205607477,0.4713488372093023
contaminated_v1,XGBoost,0.9857866043613707,0.4743745900871358
contaminated_v1,XGBoost,0.9850077881619937,0.477534453464225
contaminated_v1,XGBoost,0.9840342679127726,0.4808296070782989
contaminated_v1,XGBoost,0.9830607476635514,0.4839451739672194
contaminated_v1,XGBoost,0.9820872274143302,0.487107677450507
contaminated_v1,XGBoost,0.9805295950155763,0.48997859505740415
contaminated_v1,XGBoost,0.9797507788161994,0.49333333333333335
contaminated_v1,XGBoost,0.9789719626168224,0.4967888548562395
contaminated_v1,XGBoost,0.9774143302180686,0.49995020416293195
contaminated_v1,XGBoost,0.9768302180685359,0.5036137321822927
contaminated_v1,XGBoost,0.9756619937694704,0.5069296914516945
contaminated_v1,XGBoost,0.9748831775700935,0.5105536861425513
contaminated_v1,XGBoost,0.9739096573208723,0.5140801644398767
contaminated_v1,XGBoost,0.9725467289719626,0.5175629468448866
contaminated_v1,XGBoost,0.9719626168224299,0.521466624882482
contaminated_v1,XGBoost,0.9709890965732088,0.5251684919966302
contaminated_v1,XGBoost,0.9692367601246106,0.5285623274580591
contaminated_v1,XGBoost,0.9688473520249221,0.532762312633833
contaminated_v1,XGBoost,0.967873831775701,0.5367670877874959
contaminated_v1,XGBoost,0.9661214953271028,0.5403462920614178
contaminated_v1,XGBoost,0.9653426791277259,0.5444761695585328
contaminated_v1,XGBoost,0.9637850467289719,0.5482941958351795
contaminated_v1,XGBoost,0.9632009345794392,0.5526756786951179
contaminated_v1,XGBoost,0.9616433021806854,0.5566952209197475
contaminated_v1,XGBoost,0.9606697819314641,0.5611919927206551
contaminated_v1,XGBoost,0.9581386292834891,0.5646586345381526
contaminated_v1,XGBoost,0.9561915887850467,0.5686002084056965
contaminated_v1,XGBoost,0.9548286604361371,0.5728971962616822
contaminated_v1,XGBoost,0.9528816199376947,0.5771226415094339
contaminated_v1,XGBoost,0.9521028037383178,0.5820042846941205
contaminated_v1,XGBoost,0.9505451713395638,0.5864968765016819
contaminated_v1,XGBoost,0.9487928348909658,0.5910248635536689
contaminated_v1,XGBoost,0.9462616822429907,0.5950048971596474
contaminated_v1,XGBoost,0.944119937694704,0.5993819530284301
contaminated_v1,XGBoost,0.9413940809968847,0.6034697953070395
contaminated_v1,XGBoost,0.9384735202492211,0.6074354127284184
contaminated_v1,XGBoost,0.9357476635514018,0.6117617107942973
contaminated_v1,XGBoost,0.9338006230529595,0.6165316878776192
contaminated_v1,XGBoost,0.9316588785046729,0.621347876899104
contaminated_v1,XGBoost,0.9277647975077882,0.625
contaminated_v1,XGBoost,0.9258177570093458,0.6301351709514975
contaminated_v1,XGBoost,0.9236760124610592,0.6353287799651801
contaminated_v1,XGBoost,0.9209501557632399,0.6400541271989174
contaminated_v1,XGBoost,0.9190031152647975,0.6455142231947484
contaminated_v1,XGBoost,0.9160825545171339,0.650310988251555
contaminated_v1,XGBoost,0.9121884735202492,0.6546953605366126
contaminated_v1,XGBoost,0.9080996884735203,0.659036314822665
contaminated_v1,XGBoost,0.9034267912772586,0.6630465847384968
contaminated_v1,XGBoost,0.8997274143302181,0.6677745664739885
