Train_fraction,Train_n,Train_AUC,Test_AUC,Gap
0.05,1631,0.9998570992758626,0.7764631439276283,0.22339395534823436
0.1,3262,0.9898583272961442,0.7872137084505169,0.20264461884562734
0.2,6524,0.9601448836081474,0.8006739740333558,0.1594709095747916
0.3,9786,0.9420956135913521,0.8076449006643973,0.13445071292695476
0.4,13049,0.9245926268640152,0.8177972443676251,0.10679538249639009
0.5,16311,0.9130012104814186,0.8170893126801773,0.09591189780124132
0.6,19573,0.9016982106062784,0.8196134880295087,0.08208472257676969
0.7,22836,0.8972024781308929,0.8240593478897832,0.07314313024110974
0.85,27729,0.88783883726633,0.8242754240436743,0.06356341322265568
1.0,32623,0.882199741296291,0.8258569817535497,0.05634275954274126
