Threshold,Precision,Recall,F1,Accuracy,Flagged_fraction
0.05,0.3886399878502544,0.9964953271028038,0.5591914777383229,0.42290087255042197,0.9418538120440566
0.1,0.4230126920507682,0.9863707165109035,0.5920991117344554,0.5007867257903018,0.8565298240595051
0.15,0.44781205164992827,0.9723520249221184,0.6132121807465619,0.5494206837362323,0.7975969103132599
0.2,0.4712577714012434,0.9593068535825545,0.6320313001090373,0.5896867400944071,0.7477471034186811
0.25,0.49547883271681054,0.9388629283489096,0.6486413774549368,0.6263767701330282,0.6960377628379345
0.3,0.5189636163175303,0.9164719626168224,0.6626777417992398,0.6572736375339723,0.6486911743670434
0.35,0.5427482733984282,0.8874610591900312,0.6735628786759273,0.684022314404234,0.6006293806322415
0.4,0.5671486257652729,0.8477414330218068,0.6796222586435652,0.7064082391646402,0.5490630811042769
0.45,0.5950413223140496,0.7990654205607477,0.6821241585639491,0.726433986554141,0.493277070519239
0.5,0.627999338077114,0.7389018691588785,0.6789516056892387,0.7433128307824346,0.43219854098126165
0.55,0.6584167768751181,0.6785436137071651,0.6683286988205964,0.7526104992132742,0.37855814618795597
0.6,0.6888504753673294,0.6207165109034268,0.6530110610405572,0.7576884565870404,0.3309969961378916
0.65,0.7160867372667675,0.5529595015576324,0.6240386728191606,0.755256758689744,0.28365040766700045
0.7,0.7557134033353922,0.47644080996884736,0.5844279914019584,0.7511085681590617,0.2315834644542984
0.75,0.7866354044548651,0.3919392523364486,0.5231968810916179,0.7375911886711486,0.18302102703475898
0.8,0.8233438485804416,0.30490654205607476,0.44501278772378516,0.720640823916464,0.1360320411958232
0.85,0.8792971734148205,0.22410436137071651,0.3571761055081458,0.7036904591617794,0.09362036904591618
0.9,0.9206128133704735,0.1286993769470405,0.22582849333788863,0.6758689743956515,0.051351737948791304
0.95,0.9431438127090301,0.054906542056074766,0.10377184912603496,0.6516235159490774,0.0213846373909312
