Model,AUC,F1,Accuracy,Precision,Recall,Brier
XGBoost,0.8304,0.6819,0.7397,0.6188,0.7593,0.1675
LightGBM,0.8269,0.6795,0.7358,0.6128,0.7626,0.1697
CatBoost,0.8216,0.6724,0.7273,0.6017,0.762,0.1734
XGBoost_tuned,0.8371,0.6922,0.7556,0.6441,0.748,0.1622
LightGBM_tuned,0.8333,0.6864,0.7464,0.6288,0.7555,0.1654
"SoftVote(XGBt,LGBMt,Cat)",0.8338,0.6857,0.7454,0.6273,0.7561,0.1653
Stacking(LR meta),0.8357,0.6679,0.7648,0.694,0.6437,0.1587
XGBoost_tuned (chronological),0.821,0.6373,0.7512,0.5901,0.6926,0.1656
