p,mean,min,max,exact_zero_cells,floored
-4.0,0.09489854067198962,0.0011636400322235063,0.5189898150465628,0,True
-2.0,0.11346028878273766,0.001354054468157662,0.6361190014107273,0,True
-1.0,0.13363020801460798,0.0018297144152486472,0.7114246046378616,0,True
-0.5,0.15651021179826405,0.0030897600842892097,0.7488122799586004,0,True
0.0,0.2389618978450635,0.011630287959232967,0.782835879996733,0,True
0.25,0.29176133039371965,0.020917097600686167,0.7981815176134947,0,False
0.5,0.36306604336435777,0.05579714898283675,0.8123382253432848,0,False
1.0,0.44948658082501797,0.13867983489793584,0.8371222350475778,0,False
2.0,0.5493907076633742,0.2552941642047434,0.874256039255826,0,False
4.0,0.6659492392554867,0.36015895589236063,0.9161550127291367,0,False
8.0,0.7787225288541811,0.44802099839043336,0.9503793425915538,0,False
