batch,policy,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,workload_jain,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size,solve_seconds
0,PAA-noAdaptive,2,0.6571958989474147,0.3022771187936176,1.2205576048237508,0.7438228439917169,0.5070218114894922,0.05557584858090117,0.6571958989474147,0.3022771187936176,1.2205576048237508,0.12426219322771047,0.7438228439917169,1.1610347222222224,0.0,19,9.0,0.1,0.75,60.0,0.9181017000228167
0,PAA-noAdaptive,3,0.6553905020658302,0.2927703384958706,1.3200887962222396,0.7475665652610302,0.3480135309783142,0.057167796685559547,0.6553905020658302,0.2927703384958706,1.3200887962222396,0.10818120351588911,0.7475665652610302,0.4538090277777778,0.0,23,11.0,0.075,0.3333333333333333,60.0,0.9281143000116572
0,PAA-noAdaptive,4,0.6644908402005434,0.2695415714915065,1.3796934333906816,0.7962595676639423,0.33802456909648654,0.05619881846651536,0.6644908402005434,0.2695415714915065,1.3796934333906816,0.09995002498750624,0.7962595676639423,0.4353159722222223,0.0,16,10.0,0.2,0.5,60.0,0.9003208000212908
0,PAA-noAdaptive,5,0.6590046002763135,0.32345351265215144,1.2758102920010677,0.7792761854458331,0.3750995010654346,0.05447919039669703,0.6590046002763135,0.32345351265215144,1.2758102920010677,0.11494252873563218,0.7792761854458331,0.49063541666666677,0.0,21,10.0,0.1,0.5,60.0,0.9045866000233218
0,PAA-noAdaptive,6,0.6133880808791992,0.31892786587269906,1.2758102920010679,0.7305421278577547,0.3058661752033923,0.05017273078559893,0.6133880808791992,0.31892786587269906,1.2758102920010679,0.11494252873563218,0.7305421278577547,0.3860659722222223,0.0,17,9.0,0.05,1.0,60.0,0.9077989000361413
0,PAA-noAdaptive,7,0.6439719711422371,0.2906565929280109,1.1326360028574722,0.6796183305157866,0.5102258770136852,0.05185982873793009,0.6439719711422371,0.2906565929280109,1.1326360028574722,0.14146772767462423,0.6796183305157866,3.7158055555555562,0.0,21,8.0,0.1,0.75,60.0,0.9078798999544233
0,PAA-noAdaptive,8,0.6712660640806591,0.2794013272101069,1.387999450968369,0.8056221495749776,0.35286797919483287,0.05681967912676025,0.6712660640806591,0.2794013272101069,1.387999450968369,0.09887529353602768,0.8056221495749776,0.4666180555555555,0.0,18,11.0,0.125,0.8,60.0,0.9511614000657573
0,PAA-noAdaptive,9,0.6310703610032062,0.27974760200953036,1.201575571988228,0.6071496336666533,0.37708623931610263,0.05315119071208013,0.6310703610032062,0.27974760200953036,1.201575571988228,0.1277139208173691,0.6071496336666533,0.49751736111111117,0.0,22,9.0,0.05,0.5,60.0,0.9044446999905631
0,PAA-noSLAMut,0,0.6325411580729302,0.28688083419563537,1.2205576048237503,0.6056289499171834,0.29372430094153873,0.052292290688381864,0.6325411580729302,0.28688083419563537,1.2205576048237503,0.12426219322771047,0.6056289499171834,0.36811458333333336,0.0,22,9.0,0.075,0.3333333333333333,60.0,0.985233600018546
0,PAA-noSLAMut,1,0.6640594515394918,0.29386194225988105,1.2205576048237508,0.7007145256230827,0.3798863407033065,0.05266703574599292,0.6640594515394918,0.29386194225988105,1.2205576048237508,0.12426219322771047,0.7007145256230827,0.49846875000000007,0.0,24,10.0,0.075,0.3333333333333333,60.0,0.9636982000665739
0,PAA-noSLAMut,2,0.6833143131544893,0.293849044724495,1.3287674498039934,0.7951390912932754,0.46286483785106836,0.052184473385028594,0.6833143131544893,0.293849044724495,1.3287674498039934,0.10692328254477412,0.7951390912932754,3.6032500000000005,0.0,19,10.0,0.125,0.6,60.0,1.0237266999902204
