batch,policy,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,workload_jain,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size
0,Random,0,0.4076354214729845,0.5458748409479002,1.0583005244258363,0.34957074204685173,3.4903367196447936,,0.4076354214729845,0.5458748409479002,1.0583005244258363,0.36363636363636365,0.34957074204685173,477.95152430555555,0.0,23,4.0,0.025,1.0,
0,RoundRobin,0,0.42253336973691996,0.5516057892767392,0.8,0.309088945862966,3.5688470352990533,,0.42253336973691996,0.5516057892767392,0.8,0.5,0.309088945862966,579.8758576388888,0.0,31,3.0,0.0,,
0,FIFO,0,0.223074322979362,0.6693496781610416,3.218695387886216,0.44386906037147505,3.798100852806855,,0.223074322979362,0.6693496781610416,3.218695387886216,0.05818181818181818,0.44386906037147505,843.906309027778,0.0,4,17.0,0.125,0.6,
0,LeastLoaded,0,0.4018053413324352,0.5445722966138844,0.4898979485566356,0.4179824334119653,3.309237858779663,,0.4018053413324352,0.5445722966138844,0.4898979485566356,0.7272727272727273,0.4179824334119653,405.40679166666666,0.0,38,2.0,0.075,0.0,
0,GreedyBestOutcome,0,0.6304905461709291,0.39301952395492057,2.0199009876724157,0.717180891546484,3.466186543224704,,0.6304905461709291,0.39301952395492057,2.0199009876724157,0.13559322033898305,0.717180891546484,282.68756249999996,0.0,11,10.0,0.1,0.5,
0,StandardNSGA2,0,0.5443370015240315,0.4589874116094007,1.019803902718557,0.7480852353265725,3.329299709683262,0.08808493270617404,0.5443370015240315,0.4589874116094007,1.019803902718557,0.38095238095238093,0.7480852353265725,398.2348159722222,0.0,26,4.0,0.05,1.0,60.0
0,StandardNSGA2,1,0.5561861997623285,0.42995440764028636,1.1313708498984762,0.812822677885839,3.485739059036811,0.08588443194150709,0.5561861997623285,0.42995440764028636,1.1313708498984762,0.3333333333333333,0.812822677885839,456.8473784722222,0.0,24,5.0,0.125,0.2,60.0
0,StandardNSGA2,2,0.537062954130783,0.4488746829692866,1.1135528725660044,0.5662183654133756,2.4466516834998115,0.08838573660537671,0.537062954130783,0.4488746829692866,1.1135528725660044,0.3404255319148936,0.5662183654133756,179.58197569444442,0.0,22,5.0,0.05,0.5,60.0
0,StandardNSGA2,3,0.5166501455783974,0.4817404901872845,0.938083151964686,0.7097866859591738,3.2333794135755793,0.07740270578332034,0.5166501455783974,0.4817404901872845,0.938083151964686,0.42105263157894735,0.7097866859591738,439.6145798611111,0.0,27,4.0,0.125,0.4,60.0
0,StandardNSGA2,4,0.47870901206888855,0.47704228076866795,0.8944271909999159,0.6518725631090736,2.7331728013383887,0.07957790480807303,0.47870901206888855,0.47704228076866795,0.8944271909999159,0.4444444444444444,0.6518725631090736,365.9779097222222,0.0,29,4.0,0.075,1.0,60.0
0,StandardNSGA2,5,0.5691654680616933,0.4287713399553009,1.1135528725660044,0.6938685902506088,3.069493089043167,0.10538692854068642,0.5691654680616933,0.4287713399553009,1.1135528725660044,0.3404255319148936,0.6938685902506088,386.27299652777776,0.0,24,5.0,0.075,0.6666666666666666,60.0
0,StandardNSGA2,6,0.5105839167338635,0.48801108580589914,0.9591663046625439,0.720730870251177,2.427575155136292,0.08105869938915454,0.5105839167338635,0.48801108580589914,0.9591663046625439,0.41025641025641024,0.720730870251177,182.27251736111108,0.0,26,4.0,0.1,0.75,60.0
0,StandardNSGA2,7,0.5132981020076489,0.4565826898263287,1.0392304845413265,0.6041275995266394,2.4519901253394196,0.08358290154233529,0.5132981020076489,0.4565826898263287,1.0392304845413265,0.37209302325581395,0.6041275995266394,164.8051145833333,0.0,23,3.0,0.1,0.0,60.0
0,StandardNSGA2,8,0.5478395251047194,0.4299685973077792,1.2000000000000002,0.6250279802939098,2.2423892128587126,0.0888108409323233,0.5478395251047194,0.4299685973077792,1.2000000000000002,0.3076923076923077,0.6250279802939098,166.91650347222222,0.0,20,5.0,0.1,0.75,60.0
0,StandardNSGA2,9,0.5279741384028946,0.4094368449787026,1.32664991614216,0.8013162487012849,2.5587802672287503,0.07555883489408755,0.5279741384028946,0.4094368449787026,1.32664991614216,0.26666666666666666,0.8013162487012849,181.85101041666664,0.0,21,7.0,0.125,0.8,60.0
0,StandardNSGA2,10,0.5471162372183604,0.391639820320948,1.1832159566199234,0.5769185396542379,2.335961516932646,0.07093099453188986,0.5471162372183604,0.391639820320948,1.1832159566199234,0.3137254901960784,0.5769185396542379,242.21989236111102,0.0,20,4.0,0.05,1.0,60.0
