batch,policy,run,f1_ftr,f2_breach,f3_workload_sd,f4_expertise,f5_delay_log,hypervolume,first_time_right,sla_breach_rate,workload_sd,workload_jain,expertise_match,delay_hours,capacity_violation,groups_used,max_group_load,matched_fraction,matched_real_breach_rate,front_size,solve_seconds
0,Random,0,0.4817411122695267,0.42756217195632534,0.8137411503644991,0.3593457851836418,0.6143598488157348,,0.4817411122695267,0.42756217195632534,0.8137411503644991,0.24198427102238354,0.3593457851836418,3.9042951388888896,0.0,26,3.0,0.0,,,
0,RoundRobin,0,0.4806211211079085,0.4479482815898862,1.1725264764419854,0.31121084825335243,0.5531160086400583,,0.4806211211079085,0.4479482815898862,1.1725264764419854,0.13326669998334167,0.31121084825335243,1.7488402777777778,0.0,18,8.0,0.025,1.0,,
0,FIFO,0,0.41887786479122957,0.5251390826035436,2.4626151770772586,0.38429077744798856,1.3958194579543641,,0.41887786479122957,0.5251390826035436,2.4626151770772586,0.03368279230348196,0.38429077744798856,8.048961805555555,0.0,3,16.0,0.025,0.0,,
0,LeastLoaded,0,0.45042089909479416,0.4464741990526039,0.4983789284753746,0.36961022811028815,0.5043056514616628,,0.45042089909479416,0.4464741990526039,0.4983789284753746,0.45977011494252873,0.36961022811028815,1.202611111111111,0.0,40,1.0,0.05,0.5,,
0,GreedyBestOutcome,0,0.7151597486154735,0.2672709925675873,1.5595799441917924,0.7624237647284645,0.5297573189385425,,0.7151597486154735,0.2672709925675873,1.5595799441917924,0.079960019990005,0.7624237647284645,6.683833333333334,0.0,11,10.0,0.15,0.5,,
0,StandardNSGA2,0,0.6181436118675236,0.3286027051662467,1.182288815689544,0.6733707235537725,0.3470433604720521,0.06722914445242964,0.6181436118675236,0.3286027051662467,1.182288815689544,0.13136288998357964,0.6733707235537725,0.463638888888889,0.0,20,8.0,0.0,,60.0,1.4934327999362722
0,StandardNSGA2,1,0.6107055316094178,0.31437634343995297,1.1626821716231532,0.6714948737190183,0.3744179090942869,0.06551226204641442,0.6107055316094178,0.31437634343995297,1.1626821716231532,0.1352265043948614,0.6714948737190183,0.5366145833333333,0.0,23,9.0,0.025,1.0,60.0,1.4252377999946475
0,StandardNSGA2,2,0.6130202778300454,0.27678018846824964,1.122441895699651,0.6775672141933538,0.45590231766680817,0.06666005955697556,0.6130202778300454,0.27678018846824964,1.122441895699651,0.14367816091954022,0.6775672141933538,3.598291666666666,0.0,26,9.0,0.1,0.75,60.0,1.4309429000131786
0,StandardNSGA2,3,0.6446401154062391,0.31743594937280245,1.3113527077656701,0.7965657444156905,0.46333304959758265,0.06434292275760514,0.6446401154062391,0.31743594937280245,1.3113527077656701,0.10946907498631636,0.7965657444156905,3.654347222222222,0.0,23,11.0,0.1,1.0,60.0,1.4421892000827938
0,StandardNSGA2,4,0.6738213182922242,0.288251083861465,1.1527538013223835,0.75156591826284,0.3324653023155328,0.07182968178864518,0.6738213182922242,0.288251083861465,1.1527538013223835,0.1372448104306056,0.75156591826284,0.4170451388888889,0.0,23,9.0,0.1,0.75,60.0,1.4405303999083117
0,StandardNSGA2,5,0.6621219093521369,0.2676554081404702,1.2758102920010677,0.7085360120314885,0.3559367315075465,0.07135766231943207,0.6621219093521369,0.2676554081404702,1.2758102920010677,0.11494252873563218,0.7085360120314885,0.4645208333333334,0.0,21,10.0,0.05,1.0,60.0,1.3471554999705404
