slug,domain,admissible_auc,n_inadmissible,counts_used,others_used,full_auc,full_cost,full_share_pct,counts_auc,counts_cost,counts_share_pct,no_counts_auc,no_counts_cost,no_counts_share_pct
bpic2017,"Financial services, consumer lending",0.6664213868359223,7,"['n_events', 'n_activities']","['n_resources_touched', 'n_offers', 'n_workflow_events', 'was_returned', 'was_incomplete']",0.8952912282202342,0.22886984138431188,57.89904380493826,0.8587861820943486,0.1923647952584263,53.61544141291397,0.8939015887005242,0.22748020186460183,57.7505164716537
sepsis,"Healthcare, acute treatment",0.6045938824607631,3,"['n_events', 'n_activities']",['n_resources_touched'],0.8161874212395464,0.21159353877878329,66.92028985507244,0.7902394317791271,0.18564554931836408,63.96289717781723,0.7660098522167488,0.1614159697559857,60.680447889750184
hospital,Healthcare administration,0.9042148232501381,7,"['n_events', 'n_activities']","['n_resources_touched', 'first_isClosed', 'first_isCancelled', 'first_blocked', 'first_state']",0.94779047978471,0.04357565653457185,9.731260154419155,0.9390506095504868,0.03483578630034867,7.934344137687132,0.9381030319313249,0.033888208681186804,7.73521436996103
trafficfines,Public administration,0.6463516487210024,5,"['n_events', 'n_activities']","['n_resources_touched', 'first_totalPaymentAmount', 'first_dismissal']",0.9790613085881625,0.33270965986716017,69.45033003138698,0.9786486218714187,0.3322969731504163,69.42399036921965,0.650890116468553,0.004538467747550623,3.0077965699605547
